"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 10 11:36:14 CST 2023","Wed May 10 11:36:14 CST 2023","51","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","企业新闻",""
"passed","Wed May 10 11:36:32 CST 2023","Wed May 10 11:36:32 CST 2023","138","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","orig_members接口",""
"passed","Wed May 10 11:46:31 CST 2023","Wed May 10 11:46:31 CST 2023","45","api_test.testcase.test_person","test_person","TestPerson","","","获取人物新闻",""
"passed","Wed May 10 11:37:08 CST 2023","Wed May 10 11:37:08 CST 2023","55","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","股东信息-v2接口",""
"failed","Wed May 10 11:33:35 CST 2023","Wed May 10 11:33:47 CST 2023","11993","api_test.testcase.test_company","test_company_data","TestDbCase","","","test_db_company_length",""
"passed","Wed May 10 11:45:32 CST 2023","Wed May 10 11:45:33 CST 2023","47","api_test.testcase.test_person","test_person","TestPerson","","","人物详情页-基本信息",""
"passed","Wed May 10 11:46:04 CST 2023","Wed May 10 11:46:04 CST 2023","404","api_test.testcase.test_person","test_person","TestPerson","","","获取人物工作经历",""
"passed","Wed May 10 11:43:27 CST 2023","Wed May 10 11:43:30 CST 2023","3077","api_test.testcase.test_person","test_person","TestPerson","","","人物搜索",""
"passed","Wed May 10 11:36:09 CST 2023","Wed May 10 11:36:09 CST 2023","52","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","企业融资历程-v2接口",""
"passed","Wed May 10 11:35:42 CST 2023","Wed May 10 11:35:43 CST 2023","290","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","企业基本信息与搜索保持一致","校验企业介绍"
"passed","Wed May 10 11:35:54 CST 2023","Wed May 10 11:35:55 CST 2023","326","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","企业基本信息与搜索保持一致","校验企业介绍"
"passed","Wed May 10 11:46:30 CST 2023","Wed May 10 11:46:30 CST 2023","51","api_test.testcase.test_person","test_person","TestPerson","","","获取人物新闻",""
"passed","Wed May 10 11:37:06 CST 2023","Wed May 10 11:37:06 CST 2023","47","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","股东信息-v2接口",""
"passed","Wed May 10 11:37:05 CST 2023","Wed May 10 11:37:05 CST 2023","48","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","股东信息-v2接口",""
"failed","Wed May 10 11:35:24 CST 2023","Wed May 10 11:35:24 CST 2023","68","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","搜索有数据的企业","搜索企业,搜索结果与数据统计条数一致"
"passed","Wed May 10 11:15:18 CST 2023","Wed May 10 11:15:19 CST 2023","1069","api_test.testcase.test_bid_project","test_bid","Test_Bid_Search","","","校验招投标搜索",""
"passed","Wed May 10 11:17:47 CST 2023","Wed May 10 11:17:49 CST 2023","1161","api_test.testcase.test_bid_project","test_bid","Test_Bid_Search","","","校验招投标详情",""
"passed","Wed May 10 11:46:29 CST 2023","Wed May 10 11:46:29 CST 2023","46","api_test.testcase.test_person","test_person","TestPerson","","","获取人物新闻",""
"passed","Wed May 10 11:17:40 CST 2023","Wed May 10 11:17:41 CST 2023","1249","api_test.testcase.test_bid_project","test_bid","Test_Bid_Search","","","校验招投标详情",""
"passed","Wed May 10 11:36:20 CST 2023","Wed May 10 11:36:20 CST 2023","49","api_test.testcase.test_company","test_company_data","TestCompanyCase","","","相似企业接口",""
